Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Yang, Z., Xia, J., Zou, L., Qiao, Y., Xiao, S., Dong, Y., Liu, C.",57258157600;7402327199;56765122600;57194057338;57216783694;57257825400;57218291585;,Efficiency and driving force assessment of an integrated urban water use and wastewater treatment system: Evidence from spatial panel data of the urban agglomeration on the middle reaches of the Yangtze River,2022,Science of the Total Environment,805,,150232,,,,,10.1016/j.scitotenv.2021.150232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114861148&doi=10.1016%2fj.scitotenv.2021.150232&partnerID=40&md5=9f55914b4c0a9d5a1d214b70623392b8,Article,Final,,Scopus,2-s2.0-85114861148
"Gardin, L., Chiesi, M., Fibbi, L., Maselli, F.",6506225523;7007044760;12544528100;7005865248;,Mapping soil organic carbon in Tuscany through the statistical combination of ground observations with ancillary and remote sensing data,2021,Geoderma,404,,115386,,,,,10.1016/j.geoderma.2021.115386,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114125900&doi=10.1016%2fj.geoderma.2021.115386&partnerID=40&md5=b6412cb75cf0d1e4e4c45923a1568077,Article,Final,,Scopus,2-s2.0-85114125900
"Li, H., Zhu, L., Dai, Z., Gong, H., Guo, T., Guo, G., Wang, J., Teatini, P.",57217150463;57202316432;7201387600;35240287700;57223837640;26039111000;57226556208;6603863620;,Spatiotemporal modeling of land subsidence using a geographically weighted deep learning method based on PS-InSAR,2021,Science of the Total Environment,799,,149244,,,,,10.1016/j.scitotenv.2021.149244,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111930885&doi=10.1016%2fj.scitotenv.2021.149244&partnerID=40&md5=95c0fd2c16c3e8998f65bd4115671863,Article,Final,,Scopus,2-s2.0-85111930885
"Yang, W., Jiang, X.",57001351100;55488460300;,Evaluating the influence of land use and land cover change on fine particulate matter,2021,Scientific Reports,11,1,17612,,,,,10.1038/s41598-021-97088-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114626243&doi=10.1038%2fs41598-021-97088-8&partnerID=40&md5=b7e7e9f70fae8c255145b5f69280ea73,Article,Final,,Scopus,2-s2.0-85114626243
"Li, W., Dong, F., Ji, Z.",57218302357;8283950400;57221919542;,Research on coordination level and influencing factors spatial heterogeneity of China's urban CO2 emissions,2021,Sustainable Cities and Society,75,,103323,,,,,10.1016/j.scs.2021.103323,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114331448&doi=10.1016%2fj.scs.2021.103323&partnerID=40&md5=2a236382e315409bc01affbf3d43ffe6,Article,Final,,Scopus,2-s2.0-85114331448
"Quiñones, S., Goyal, A., Ahmed, Z.U.",57216615016;57222629188;35591393200;,"Author Correction: Geographically weighted machine learning model for untangling spatial heterogeneity of type 2 diabetes mellitus (T2D) prevalence in the USA (Scientific Reports, (2021), 11, 1, (6955), 10.1038/s41598-021-85381-5)",2021,Scientific Reports,11,1,17645,,,,,10.1038/s41598-021-97279-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114303596&doi=10.1038%2fs41598-021-97279-3&partnerID=40&md5=8b8341cc683cd7600c3362cf5126e0fb,Erratum,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85114303596
"Song, Y., Shen, Z., Wu, P., Viscarra Rossel, R.A.",57200073199;57221371781;57244596700;55900800400;,Wavelet geographically weighted regression for spectroscopic modelling of soil properties,2021,Scientific Reports,11,1,17503,,,,,10.1038/s41598-021-96772-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114133480&doi=10.1038%2fs41598-021-96772-z&partnerID=40&md5=84883a4d176e10ac6004af8aa426e994,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85114133480
"Qiao, H.-H., Wang, C.-H., Chen, M.-H., Su, C.-H.J., Tsai, C.-H.K., Liu, J.",57234461400;55498292400;7406348919;57215846006;57233725100;57210136624;,Hedonic price analysis for high-end rural homestay room rates,2021,Journal of Hospitality and Tourism Management,49,,,1,11,,,10.1016/j.jhtm.2021.08.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113587548&doi=10.1016%2fj.jhtm.2021.08.008&partnerID=40&md5=20e04c85e4b9c159bb37c48011b2048d,Article,Final,,Scopus,2-s2.0-85113587548
"Wang, Q., Feng, H., Feng, H., Yu, Y., Li, J., Ning, E.",57221931019;36655555300;57188846405;57221119034;57221945443;57221940074;,The impacts of road traffic on urban air quality in Jinan based GWR and remote sensing,2021,Scientific Reports,11,1,15512,,,,,10.1038/s41598-021-94159-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111637570&doi=10.1038%2fs41598-021-94159-8&partnerID=40&md5=b4690a683d9acebb45333574b039c3dd,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85111637570
"Wang, J., Teng, D., He, X., Qin, L., Yang, X., Lv, G.",57221359799;57200200494;55902438600;55362093000;57214946421;7003850998;,Spatial non-stationarity effects of driving factors on soil respiration in an arid desert region,2021,Catena,207,,105617,,,,,10.1016/j.catena.2021.105617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111320516&doi=10.1016%2fj.catena.2021.105617&partnerID=40&md5=868915b1c0f9e8a7b2f5df6a0013f4c2,Article,Final,,Scopus,2-s2.0-85111320516
"Lima, G.V.B.D.A., Carvalho, A.C.G.D., Moreira, F.G.P., Bassalo, G.H.M.",57226149760;57226164782;57191255663;57226132583;,"Real Estate Tendencies in High-Rise Residential Buildings: Case Study in Belém, Amazonia, Brazil",2021,Journal of Urban Planning and Development,147,4,5021033,,,,,10.1061/(ASCE)UP.1943-5444.0000748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110632482&doi=10.1061%2f%28ASCE%29UP.1943-5444.0000748&partnerID=40&md5=04c6bed33ca9f30197afc085db14486d,Article,Final,,Scopus,2-s2.0-85110632482
"Wu, J., Li, X., Luo, Y., Zhang, D.",35265605900;57225179920;57214665646;57217027547;,Spatiotemporal effects of urban sprawl on habitat quality in the Pearl River Delta from 1990 to 2018,2021,Scientific Reports,11,1,13981,,,,,10.1038/s41598-021-92916-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109366941&doi=10.1038%2fs41598-021-92916-3&partnerID=40&md5=871c38a0a47f96573b1b622dc04198da,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85109366941
"Tigabu, S., Liyew, A.M., Geremew, B.M.",57224986824;57215665090;57207316944;,Modeling spatial determinates of teenage pregnancy in Ethiopia; geographically weighted regression,2021,BMC Women's Health,21,1,254,,,,,10.1186/s12905-021-01400-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108838438&doi=10.1186%2fs12905-021-01400-7&partnerID=40&md5=c3be65cb62a12c6b58d8754ad16b2a54,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85108838438
"Sacco, C., Falzetti, P.",57224443754;55617839100;,Spatial variations of school-level determinants of reading achievement in Italy,2021,Large-Scale Assessments in Education,9,1,12,,,,,10.1186/s40536-021-00105-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107576435&doi=10.1186%2fs40536-021-00105-5&partnerID=40&md5=106c080a25d0ac282afd91fe8ee02bdf,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85107576435
"Gao, F., languille, C., karzazi, K., Guhl, M., Boukebous, B., Deguen, S.",56645409800;57223673086;57223689311;57223704206;57197766692;6506306535;,Efficiency of fine scale and spatial regression in modelling associations between healthcare service spatial accessibility and their utilization,2021,International Journal of Health Geographics,20,1,22,,,,,10.1186/s12942-021-00276-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106039233&doi=10.1186%2fs12942-021-00276-y&partnerID=40&md5=2091ef0b39fdb74be256e98f1196de63,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85106039233
"Kurji, J., Thickstun, C., Bulcha, G., Taljaard, M., Li, Z., Kulkarni, M.A.",55237447800;57211769971;57207757489;57221653809;57204111089;14058187000;,"Spatial variability in factors influencing maternal health service use in Jimma Zone, Ethiopia: a geographically-weighted regression analysis",2021,BMC Health Services Research,21,1,454,,,,,10.1186/s12913-021-06379-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105706737&doi=10.1186%2fs12913-021-06379-3&partnerID=40&md5=45bb5334dd01ed20ead91051a2fecec1,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85105706737
"Zhang, H., Liu, Y., Chen, F., Mi, B., Zeng, L., Pei, L.",57217867634;57218345219;57199294787;56304646100;7401904324;55626856800;,The effect of sociodemographic factors on COVID-19 incidence of 342 cities in China: a geographically weighted regression model analysis,2021,BMC Infectious Diseases,21,1,428,,,,,10.1186/s12879-021-06128-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105436876&doi=10.1186%2fs12879-021-06128-1&partnerID=40&md5=5cc64c207309ee6a509725d2dc48afbc,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85105436876
"Yao, Y., Shi, W., Zhang, A., Liu, Z., Luo, S.",57219932328;7402664815;55791509100;57205742231;57212165564;,Examining the diffusion of coronavirus disease 2019 cases in a metropolis: a space syntax approach,2021,International Journal of Health Geographics,20,1,17,,,,1,10.1186/s12942-021-00270-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104942954&doi=10.1186%2fs12942-021-00270-4&partnerID=40&md5=dbe8898c6766558e5d97cc4d95d6b149,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85104942954
"Middya, A.I., Roy, S.",57193557957;55362070500;,Geographically varying relationships of COVID-19 mortality with different factors in India,2021,Scientific Reports,11,1,7890,,,,1,10.1038/s41598-021-86987-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104235349&doi=10.1038%2fs41598-021-86987-5&partnerID=40&md5=cbe43d14fdccdfee29f54f3a7d887434,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85104235349
"Quiñones, S., Goyal, A., Ahmed, Z.U.",57216615016;57222629188;35591393200;,Geographically weighted machine learning model for untangling spatial heterogeneity of type 2 diabetes mellitus (T2D) prevalence in the USA,2021,Scientific Reports,11,1,6955,,,,,10.1038/s41598-021-85381-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103529076&doi=10.1038%2fs41598-021-85381-5&partnerID=40&md5=8729007cba6345c1314348b95b14753d,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85103529076
"Gonçalves, D.R.P., Mishra, U., Wills, S., Gautam, S.",57190137940;24399246600;16053979500;57193855653;,Regional environmental controllers influence continental scale soil carbon stocks and future carbon dynamics,2021,Scientific Reports,11,1,6474,,,,,10.1038/s41598-021-85992-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102791155&doi=10.1038%2fs41598-021-85992-y&partnerID=40&md5=7d18157825ccf0fce65c1507a00ad661,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102791155
"Morera, A., Martínez de Aragón, J., Bonet, J.A., Liang, J., de-Miguel, S.",57222385390;22941485000;35578910900;12752815000;17343492500;,Performance of statistical and machine learning-based methods for predicting biogeographical patterns of fungal productivity in forest ecosystems,2021,Forest Ecosystems,8,1,21,,,,1,10.1186/s40663-021-00297-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102570180&doi=10.1186%2fs40663-021-00297-w&partnerID=40&md5=c1647f4d070511b4baa89f350b08f92e,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102570180
"Jaafarzadeh, M.S., Tahmasebipour, N., Haghizadeh, A., Pourghasemi, H.R., Rouhani, H.",57222369153;57184413500;26535974600;55253664900;22954149600;,Groundwater recharge potential zonation using an ensemble of machine learning and bivariate statistical models,2021,Scientific Reports,11,1,5587,,,,,10.1038/s41598-021-85205-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102493744&doi=10.1038%2fs41598-021-85205-6&partnerID=40&md5=27c4334fe2680d4a8ac67db92322c81b,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102493744
"Othman, M.O.M., Moustafa, H.M., El-Ghany, M.M.A., El-Mon’em El-Rasad, S.A.A.",57222297496;15048556200;57222297796;57222292127;,The value of myocardial MIBI washout rate in risk stratification of coronary artery disease,2021,Egyptian Journal of Radiology and Nuclear Medicine,52,1,73,,,,,10.1186/s43055-020-00382-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102175829&doi=10.1186%2fs43055-020-00382-0&partnerID=40&md5=fda62c049132fc68c125a061d6963926,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85102175829
"Maheshwarkar, P., Sunder Raman, R.",57221464238;22942289500;,Population exposure across central India to PM2.5 derived using remotely sensed products in a three-stage statistical model,2021,Scientific Reports,11,1,544,,,,1,10.1038/s41598-020-79229-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099180135&doi=10.1038%2fs41598-020-79229-7&partnerID=40&md5=31b07462f03be36e9c612b6eb462b42f,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85099180135
"Padilla, C.M., Foucault, A., Grimaud, O., Nowak, E., Timsit, S.",41862151300;57221307081;57209249185;16025084900;57202571735;,"Gender difference of geographic distribution of the stroke incidence affected by socioeconomic, clinical and urban-rural factors: an ecological study based on data from the Brest stroke registry in France",2021,BMC Public Health,21,1,39,,,,,10.1186/s12889-020-10026-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098797152&doi=10.1186%2fs12889-020-10026-7&partnerID=40&md5=793a32868890aa1567f1ff809671f858,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85098797152
"Sun, Y., Liu, S., Liu, Y., Dong, Y., Li, M., An, Y., Shi, F., Beazley, R.",57206700823;8664704400;57218414980;35239880300;57218087723;57205333684;57208602369;35271244100;,"Effects of the interaction among climate, terrain and human activities on biodiversity on the Qinghai-Tibet Plateau",2021,Science of the Total Environment,794,,148497,,,,,10.1016/j.scitotenv.2021.148497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108879348&doi=10.1016%2fj.scitotenv.2021.148497&partnerID=40&md5=64a067b15cda70ef3642688f41f9d8e8,Article,Final,,Scopus,2-s2.0-85108879348
"Hu, B., Kang, F., Han, H., Cheng, X., Li, Z.",57191886016;16245361500;16506862100;57250746500;57204218781;,Exploring drivers of ecosystem services variation from a geospatial perspective: Insights from China's Shanxi Province,2021,Ecological Indicators,131,,108188,,,,,10.1016/j.ecolind.2021.108188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114460894&doi=10.1016%2fj.ecolind.2021.108188&partnerID=40&md5=56fc38635778fb08549c4e7378171232,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85114460894
"Pribadi, D.O., Saifullah, K., Putra, A.S., Nurdin, M., Iman, L.O.S., Rustiadi, E.",56433387200;57193560426;57209445396;57244529400;55292884600;56237011500;,Spatial analysis of COVID-19 outbreak to assess the effectiveness of social restriction policy in dealing with the pandemic in Jakarta,2021,Spatial and Spatio-temporal Epidemiology,39,,100454,,,,,10.1016/j.sste.2021.100454,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114173147&doi=10.1016%2fj.sste.2021.100454&partnerID=40&md5=7f2937d55eeb166762e996e9673f4c6c,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85114173147
"Liu, C., Liu, Z., Guan, C.",57189334402;57222000329;57188755053;,"The impacts of the built environment on the incidence rate of COVID-19: A case study of King County, Washington",2021,Sustainable Cities and Society,74,,103144,,,,1,10.1016/j.scs.2021.103144,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113182120&doi=10.1016%2fj.scs.2021.103144&partnerID=40&md5=e9d5fda55add3fdf3526187f63a8d380,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85113182120
"Kruse, J., Kang, Y., Liu, Y.-N., Zhang, F., Gao, S.",57218890317;57226694854;57226698168;57202400553;55876526300;,Places for play: Understanding human perception of playability in cities using street view images and deep learning,2021,"Computers, Environment and Urban Systems",90,,101693,,,,,10.1016/j.compenvurbsys.2021.101693,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112355810&doi=10.1016%2fj.compenvurbsys.2021.101693&partnerID=40&md5=140853df75fd141bf3ea2d0c24915b19,Article,Final,,Scopus,2-s2.0-85112355810
"Zhu, H., Ding, H., Bi, R., Hou, M.",57191043856;57226533553;56207909400;36198173400;,Large-extent spatial heterogeneity of soil bioavailable micronutrients and the relative roles of environmental indicators on them within maize fields,2021,Ecological Indicators,130,,108071,,,,,10.1016/j.ecolind.2021.108071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111897033&doi=10.1016%2fj.ecolind.2021.108071&partnerID=40&md5=c928c1bfeaa9deade42c0dd7b8d8a937,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85111897033
"Li, Y., Zhou, B., Glockmann, M., Kropp, J.P., Rybski, D.",57226514184;55882914500;57222756614;55152323100;6507441769;,Context sensitivity of surface urban heat island at the local and regional scales,2021,Sustainable Cities and Society,74,,103146,,,,,10.1016/j.scs.2021.103146,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111552891&doi=10.1016%2fj.scs.2021.103146&partnerID=40&md5=30f22a5c4ac10d449687af249b3c4ce0,Article,Final,,Scopus,2-s2.0-85111552891
"Pordanjani, S.R., Kavousi, A., Mirbagheri, B., Shahsavani, A., Etemad, K.",57192641963;26967654500;55350586400;35085482400;44060916700;,Spatial analysis and geoclimatic factors associated with the incidence of acute lymphoblastic leukemia in Iran during 2006–2014: An environmental epidemiological study,2021,Environmental Research,202,,111662,,,,,10.1016/j.envres.2021.111662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111059698&doi=10.1016%2fj.envres.2021.111662&partnerID=40&md5=5034b5c3620b689bbaa185147f8933e5,Article,Final,,Scopus,2-s2.0-85111059698
"Song, J., Yu, H., Lu, Y.",57195376991;57205561673;57194620633;,Spatial-scale dependent risk factors of heat-related mortality: A multiscale geographically weighted regression analysis,2021,Sustainable Cities and Society,74,,103159,,,,,10.1016/j.scs.2021.103159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111052399&doi=10.1016%2fj.scs.2021.103159&partnerID=40&md5=a324ad01dfaacc63766807308951634f,Article,Final,,Scopus,2-s2.0-85111052399
"Kang, Y., Zhang, F., Gao, S., Peng, W., Ratti, C.",57214594076;57202400553;55876526300;57220993215;35230766400;,Human settlement value assessment from a place perspective: Considering human dynamics and perceptions in house price modeling,2021,Cities,118,,103333,,,,,10.1016/j.cities.2021.103333,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109563000&doi=10.1016%2fj.cities.2021.103333&partnerID=40&md5=910d20dcec82c779ee98bf148e47ee6a,Article,Final,,Scopus,2-s2.0-85109563000
"Wang, J., Lu, F.",57225182764;56047937700;,Modeling the electricity consumption by combining land use types and landscape patterns with nighttime light imagery,2021,Energy,234,,121305,,,,,10.1016/j.energy.2021.121305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109418716&doi=10.1016%2fj.energy.2021.121305&partnerID=40&md5=51d4f9cebf0917c97905ad404027b34c,Article,Final,,Scopus,2-s2.0-85109418716
"Marett, K., Nabors, M.",8046337300;57220833312;,Local learning from municipal ransomware attacks: A geographically weighted analysis,2021,Information and Management,58,7,103482,,,,,10.1016/j.im.2021.103482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108109068&doi=10.1016%2fj.im.2021.103482&partnerID=40&md5=db442b9a0d8a3064aabe62a5aa35b775,Article,Final,,Scopus,2-s2.0-85108109068
"Pan, Z., Wang, J.",57220934909;56781568100;,Spatially heterogeneity response of ecosystem services supply and demand to urbanization in China,2021,Ecological Engineering,169,,106303,,,,,10.1016/j.ecoleng.2021.106303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107931171&doi=10.1016%2fj.ecoleng.2021.106303&partnerID=40&md5=f2d721bc6bc6d9b3e98b1e45b4e2dffe,Article,Final,,Scopus,2-s2.0-85107931171
"He, Y., Tang, C., Wang, Z.",55386046200;57225049244;57225046983;,"Spatial patterns and influencing factors of sewage treatment plants in the Guangdong-Hong Kong-Macau Greater Bay Area, China",2021,Science of the Total Environment,792,,148430,,,,,10.1016/j.scitotenv.2021.148430,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109019428&doi=10.1016%2fj.scitotenv.2021.148430&partnerID=40&md5=e30e8905c827370ea57988e938f8b7ff,Article,Final,,Scopus,2-s2.0-85109019428
"Shi, T., Hu, X., Guo, L., Su, F., Tu, W., Hu, Z., Liu, H., Yang, C., Wang, J., Zhang, J., Wu, G.",55349704100;57224724221;50661250400;57224726233;36169341500;55630272400;56195926300;57199645559;57191893435;57225121870;7404975854;,Digital mapping of zinc in urban topsoil using multisource geospatial data and random forest,2021,Science of the Total Environment,792,,148455,,,,,10.1016/j.scitotenv.2021.148455,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108224035&doi=10.1016%2fj.scitotenv.2021.148455&partnerID=40&md5=8a371bd014cc78f6951c10e36729e07a,Article,Final,,Scopus,2-s2.0-85108224035
"Han, J., Qu, J., Maraseni, T.N., Xu, L., Zeng, J., Li, H.",57219603293;25628121900;15126996400;57202738711;20735995300;56523757100;,A critical assessment of provincial-level variation in agricultural GHG emissions in China,2021,Journal of Environmental Management,296,,113190,,,,,10.1016/j.jenvman.2021.113190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109829182&doi=10.1016%2fj.jenvman.2021.113190&partnerID=40&md5=d225ed1e79cce57cad667ff21ac53519,Article,Final,,Scopus,2-s2.0-85109829182
"Wang, W., Zhao, Y., Zhang, T., Wang, R., Wei, Z., Sun, Q., Wu, J.",57234027700;57213968434;57013682500;57226734725;56997958800;57013897600;57223354250;,Regional soil thickness mapping based on stratified sampling of optimally selected covariates,2021,Geoderma,400,,115092,,,,,10.1016/j.geoderma.2021.115092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105690830&doi=10.1016%2fj.geoderma.2021.115092&partnerID=40&md5=d98e4d48a6f14887cf64be78ba78a9b0,Article,Final,,Scopus,2-s2.0-85105690830
"Grekousis, G., Wang, R., Liu, Y.",52563646600;57202886161;49964095100;,"Mapping the geodemographics of racial, economic, health, and COVID-19 deaths inequalities in the conterminous US",2021,Applied Geography,135,,102558,,,,,10.1016/j.apgeog.2021.102558,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114143481&doi=10.1016%2fj.apgeog.2021.102558&partnerID=40&md5=954baa3542d8b3a9ffba267767ee95f6,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85114143481
"Fayz-Al-Asad, M., Nur Alam, M., Rashad, A.M., Manirul Alam Sarker, M.",57210176032;55979705100;16176115400;57242502800;,Impact of undulation on magneto-free convective heat transport in an enclosure having vertical wavy sides,2021,International Communications in Heat and Mass Transfer,127,,105579,,,,,10.1016/j.icheatmasstransfer.2021.105579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114091308&doi=10.1016%2fj.icheatmasstransfer.2021.105579&partnerID=40&md5=b54f78886099249239c5af63d75e505d,Article,Final,,Scopus,2-s2.0-85114091308
"Chen, C., Feng, T., Ding, C., Yu, B., Yao, B.",52863471600;55011305300;52663583200;57220931519;17436669100;,Examining the spatial-temporal relationship between urban built environment and taxi ridership: Results of a semi-parametric GWPR model,2021,Journal of Transport Geography,96,,103172,,,,,10.1016/j.jtrangeo.2021.103172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113918238&doi=10.1016%2fj.jtrangeo.2021.103172&partnerID=40&md5=05585d8019862ab73505013c9614f31a,Article,Final,,Scopus,2-s2.0-85113918238
"Yaagoubi, R., Faisal, K., Miky, Y.",26325186800;56329228200;57200800802;,"Land value assessment based on an integrated Voronoi-geographically weighted regression approach in Makkah, Saudi Arabia",2021,Journal of King Saud University - Science,33,7,101557,,,,,10.1016/j.jksus.2021.101557,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112437768&doi=10.1016%2fj.jksus.2021.101557&partnerID=40&md5=51c878606ee37434ff72ff2c347f030e,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85112437768
"Fang, G., Pang, W., Zhao, L., Cui, W., Zhu, L., Cao, S., Ge, Y.",57189986856;24315073800;54967675500;56973215300;7404201568;14520351700;8727123700;,Extreme Typhoon Wind Speed Mapping for Coastal Region of China: Geographically Weighted Regression-Based Circular Subregion Algorithm,2021,Journal of Structural Engineering (United States),147,10,4021146,,,,,10.1061/(ASCE)ST.1943-541X.0003122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112106751&doi=10.1061%2f%28ASCE%29ST.1943-541X.0003122&partnerID=40&md5=e3f47cfbcafd3d8f6a5a20e0ce19ba36,Article,Final,,Scopus,2-s2.0-85112106751
"Wang, L., Sun, H., Hu, X., Leng, Z., Zha, Z., Zhang, Z., Yang, J.",57219948134;56125937100;57216336188;57202424222;57226567971;57226565207;57226580134;,Measurement of China's provincial consumption-based PM2.5 emissions and its influencing factors in the perspective of spatial heterogeneity,2021,Journal of Cleaner Production,317,,128367,,,,,10.1016/j.jclepro.2021.128367,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112014629&doi=10.1016%2fj.jclepro.2021.128367&partnerID=40&md5=96b57c259f7780d961e92ffa086c0183,Article,Final,,Scopus,2-s2.0-85112014629
"Yu, Q., Feng, C.-C., Shi, Y., Guo, L.",57193258998;36521078000;57218562745;8280511500;,Spatiotemporal interaction between ecosystem services and urbanization in China: Incorporating the scarcity effects,2021,Journal of Cleaner Production,317,,128392,,,,,10.1016/j.jclepro.2021.128392,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111894720&doi=10.1016%2fj.jclepro.2021.128392&partnerID=40&md5=e148291a0409bffe38bdad9c88b039c1,Article,Final,,Scopus,2-s2.0-85111894720
"Yang, Y.",56496105600;,"Evolution of habitat quality and association with land-use changes in mountainous areas: A case study of the Taihang Mountains in Hebei Province, China",2021,Ecological Indicators,129,,107967,,,,1,10.1016/j.ecolind.2021.107967,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110332252&doi=10.1016%2fj.ecolind.2021.107967&partnerID=40&md5=a354861a3d8034c3c4dd5285e870a14d,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85110332252
"Leal, A.R., Husted, B.W., Flores Segovia, M.A.",57192409919;6701882735;57226026288;,Environmental performance spillovers among Mexican industrial facilities: The case of greenhouse gases,2021,Journal of Business Research,135,,,711,720,,,10.1016/j.jbusres.2021.07.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110192936&doi=10.1016%2fj.jbusres.2021.07.004&partnerID=40&md5=68ecf8ab2d0860ae9b2044490dc0ef2b,Article,Final,,Scopus,2-s2.0-85110192936
"Wang, C.-J., Wan, J.-Z., Fajardo, J.",55234798300;56072661000;56443788600;,Effects of agricultural lands on the distribution pattern of genus diversity for neotropical terrestrial vertebrates,2021,Ecological Indicators,129,,107900,,,,,10.1016/j.ecolind.2021.107900,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109780666&doi=10.1016%2fj.ecolind.2021.107900&partnerID=40&md5=e1ebf3edbe57c86745e5a86ba6548e47,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85109780666
"Fan, P.Y., Chun, K.P., Mijic, A., Tan, M.L., He, Q., Yetemen, O.",57225195890;26666468500;55354024800;56203508900;54919172500;24462767700;,"Quantifying land use heterogeneity on drought conditions for mitigation strategies development in the Dongjiang River Basin, China",2021,Ecological Indicators,129,,107945,,,,,10.1016/j.ecolind.2021.107945,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109440407&doi=10.1016%2fj.ecolind.2021.107945&partnerID=40&md5=e7df25db61cdfc140798acb9db2850ff,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85109440407
