Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Liu, C., Liu, Z., Guan, C.","57189334402; 57226884721; 57188755053","The impacts of the built environment on the incidence rate of COVID-19: A case study of King County, Washington",2021,"Sustainable Cities and Society",74,"", 103144,,,,1,10.1016/j.scs.2021.103144,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113182120&partnerID=40&md5=9fd924c8daa77a25162a8ba8abe07fdc",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85113182120
"Kruse, J., Kang, Y., Liu, Y.-N., Zhang, F., Gao, S.","57218890317; 57226694854; 57226698168; 57202400553; 55876526300","Places for play: Understanding human perception of playability in cities using street view images and deep learning",2021,"Computers, Environment and Urban Systems",90,"", 101693,,,,,10.1016/j.compenvurbsys.2021.101693,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112355810&partnerID=40&md5=7f2ed9d02a9484c764bbce45c3377dcc",Article,Final,"",Scopus,2-s2.0-85112355810
"Zhu, H., Ding, H., Bi, R., Hou, M.","57191043856; 57226533553; 56207909400; 36198173400","Large-extent spatial heterogeneity of soil bioavailable micronutrients and the relative roles of environmental indicators on them within maize fields",2021,"Ecological Indicators",130,"", 108071,,,,,10.1016/j.ecolind.2021.108071,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111897033&partnerID=40&md5=850eec1ba77aaf24b65a751d14ef5387",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85111897033
"Li, Y., Zhou, B., Glockmann, M., Kropp, J.P., Rybski, D.","57208656911; 55882914500; 57222756614; 55152323100; 6507441769","Context sensitivity of surface urban heat island at the local and regional scales",2021,"Sustainable Cities and Society",74,"", 103146,,,,,10.1016/j.scs.2021.103146,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111552891&partnerID=40&md5=8646319857ce3f26dd9612b013f0e933",Article,Final,"",Scopus,2-s2.0-85111552891
"Pordanjani, S.R., Kavousi, A., Mirbagheri, B., Shahsavani, A., Etemad, K.","57192641963; 26967654500; 55350586400; 35085482400; 44060916700","Spatial analysis and geoclimatic factors associated with the incidence of acute lymphoblastic leukemia in Iran during 2006–2014: An environmental epidemiological study",2021,"Environmental Research",202,"", 111662,,,,,10.1016/j.envres.2021.111662,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111059698&partnerID=40&md5=16dcb4ccb30e33790cf3d8c4080bbc9c",Article,Final,"",Scopus,2-s2.0-85111059698
"Song, J., Yu, H., Lu, Y.","57195376991; 57205561673; 57194620633","Spatial-scale dependent risk factors of heat-related mortality: A multiscale geographically weighted regression analysis",2021,"Sustainable Cities and Society",74,"", 103159,,,,,10.1016/j.scs.2021.103159,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111052399&partnerID=40&md5=08145f9b814c12980fa25e289fbe820e",Article,Final,"",Scopus,2-s2.0-85111052399
"Kang, Y., Zhang, F., Gao, S., Peng, W., Ratti, C.","57214594076; 57202400553; 55876526300; 57220993215; 35230766400","Human settlement value assessment from a place perspective: Considering human dynamics and perceptions in house price modeling",2021,"Cities",118,"", 103333,,,,,10.1016/j.cities.2021.103333,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109563000&partnerID=40&md5=efa3096ce1c616e633e201f8e1846eb5",Article,Final,"",Scopus,2-s2.0-85109563000
"Wang, J., Lu, F.","57225182764; 56047937700","Modeling the electricity consumption by combining land use types and landscape patterns with nighttime light imagery",2021,"Energy",234,"", 121305,,,,,10.1016/j.energy.2021.121305,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109418716&partnerID=40&md5=3038f939eab8e6600dea50aa517eef87",Article,Final,"",Scopus,2-s2.0-85109418716
"Marett, K., Nabors, M.","8046337300; 57220833312","Local learning from municipal ransomware attacks: A geographically weighted analysis",2021,"Information and Management",58,"7", 103482,,,,,10.1016/j.im.2021.103482,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108109068&partnerID=40&md5=9df1bae2490500876bf25dc05afefb97",Article,Final,"",Scopus,2-s2.0-85108109068
"Shi, T., Hu, X., Guo, L., Su, F., Tu, W., Hu, Z., Liu, H., Yang, C., Wang, J., Zhang, J., Wu, G.","55349704100; 57224724221; 50661250400; 57224726233; 36169341500; 55630272400; 56195926300; 57199645559; 57191893435; 57225121870; 7404975854","Digital mapping of zinc in urban topsoil using multisource geospatial data and random forest",2021,"Science of the Total Environment",792,"", 148455,,,,,10.1016/j.scitotenv.2021.148455,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108224035&partnerID=40&md5=98a8ce2307ceff82aa1b5d4c14347948",Article,Final,"",Scopus,2-s2.0-85108224035
"Han, J., Qu, J., Maraseni, T.N., Xu, L., Zeng, J., Li, H.","57219603293; 25628121900; 15126996400; 57202738711; 20735995300; 56523757100","A critical assessment of provincial-level variation in agricultural GHG emissions in China",2021,"Journal of Environmental Management",296,"", 113190,,,,,10.1016/j.jenvman.2021.113190,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109829182&partnerID=40&md5=041e5e940332b477a990013ae7e82bbf",Article,Final,"",Scopus,2-s2.0-85109829182
"Chen, C., Feng, T., Ding, C., Yu, B., Yao, B.","57239485100; 55011305300; 52663583200; 57220931519; 17436669100","Examining the spatial-temporal relationship between urban built environment and taxi ridership: Results of a semi-parametric GWPR model",2021,"Journal of Transport Geography",96,"", 103172,,,,,10.1016/j.jtrangeo.2021.103172,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113918238&partnerID=40&md5=038d491d1a9a7f62da194d1f74a4e0ef",Article,Final,"",Scopus,2-s2.0-85113918238
"Yaagoubi, R., Faisal, K., Miky, Y.","26325186800; 56329228200; 57200800802","Land value assessment based on an integrated Voronoi-geographically weighted regression approach in Makkah, Saudi Arabia",2021,"Journal of King Saud University - Science",33,"7", 101557,,,,,10.1016/j.jksus.2021.101557,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112437768&partnerID=40&md5=2c550f2d22ac8949288236c0d7734151",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85112437768
"Fang, G., Pang, W., Zhao, L., Cui, W., Zhu, L., Cao, S., Ge, Y.","57189986856; 24315073800; 54967675500; 56973215300; 7404201568; 14520351700; 8727123700","Extreme Typhoon Wind Speed Mapping for Coastal Region of China: Geographically Weighted Regression-Based Circular Subregion Algorithm",2021,"Journal of Structural Engineering (United States)",147,"10", 04021146,,,,,10.1061/(ASCE)ST.1943-541X.0003122,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112106751&partnerID=40&md5=8d924a9d6349f232dd60fa0d937deaa7",Article,Final,"",Scopus,2-s2.0-85112106751
"Wang, L., Sun, H., Hu, X., Leng, Z., Zha, Z., Zhang, Z., Yang, J.","57219948134; 56125937100; 57216336188; 57202424222; 57226567971; 57226565207; 57226580134","Measurement of China's provincial consumption-based PM2.5 emissions and its influencing factors in the perspective of spatial heterogeneity",2021,"Journal of Cleaner Production",317,"", 128367,,,,,10.1016/j.jclepro.2021.128367,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112014629&partnerID=40&md5=5043a5a0692d7e7c4b03a11ccaad8729",Article,Final,"",Scopus,2-s2.0-85112014629
"Yu, Q., Feng, C.-C., Shi, Y., Guo, L.","57193258998; 36521078000; 57218562745; 8280511500","Spatiotemporal interaction between ecosystem services and urbanization in China: Incorporating the scarcity effects",2021,"Journal of Cleaner Production",317,"", 128392,,,,,10.1016/j.jclepro.2021.128392,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111894720&partnerID=40&md5=bb10b4ca277b6106bbecaf5963608e64",Article,Final,"",Scopus,2-s2.0-85111894720
"Yang, Y.","56496105600","Evolution of habitat quality and association with land-use changes in mountainous areas: A case study of the Taihang Mountains in Hebei Province, China",2021,"Ecological Indicators",129,"", 107967,,,,1,10.1016/j.ecolind.2021.107967,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85110332252&partnerID=40&md5=98c9046502fde6c4131226861d5be770",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85110332252
"Fan, P.Y., Chun, K.P., Mijic, A., Tan, M.L., He, Q., Yetemen, O.","57225195890; 26666468500; 55354024800; 56203508900; 54919172500; 24462767700","Quantifying land use heterogeneity on drought conditions for mitigation strategies development in the Dongjiang River Basin, China",2021,"Ecological Indicators",129,"", 107945,,,,,10.1016/j.ecolind.2021.107945,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109440407&partnerID=40&md5=c66271042910c0c326b2f2dcb4785cc6",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85109440407
"Li, Z., Quiring, S.M.","57205740319; 57204256646","Investigating spatial heterogeneity of the controls of surface water balance in the contiguous United States by considering anthropogenic factors",2021,"Journal of Hydrology",601,"", 126621,,,,,10.1016/j.jhydrol.2021.126621,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109029887&partnerID=40&md5=c3ad0dd2959bb4e555e2d99709d6d251",Article,Final,"",Scopus,2-s2.0-85109029887
"Williams Araújo do Nascimento, C., Bruno Viera da Silva, F., de Brito Fabricio Neta, A., Miranda Biondi, C., Aparecida da Silva Lins, S., Bezerra de Almeida Júnior, A., Preston, W.","57222141042; 57222748174; 54583402400; 57222748645; 57222745745; 57222746100; 56230148400","Geopedology-climate interactions govern the spatial distribution of selenium in soils: A case study in northeastern Brazil",2021,"Geoderma",399,"", 115119,,,,,10.1016/j.geoderma.2021.115119,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103946501&partnerID=40&md5=6003f0fae2438ead978c6f8663e5f6af",Article,Final,"",Scopus,2-s2.0-85103946501
"Rasul, A., Ningthoujam, R.","56966434500; 57194399017","Snow cover and vegetation greenness with leaf water content control the global land surface temperature",2021,"Environment, Development and Sustainability",23,"10",,14722,14748,,1,10.1007/s10668-021-01269-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101437971&partnerID=40&md5=d95c6419c8f855fd2f883f17ee27bef1",Article,Final,"",Scopus,2-s2.0-85101437971
"Jia, J., Zhang, X.","57226066901; 47961621900","A human-scale investigation into economic benefits of urban green and blue infrastructure based on big data and machine learning: A case study of Wuhan",2021,"Journal of Cleaner Production",316,"", 128321,,,,,10.1016/j.jclepro.2021.128321,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85110373400&partnerID=40&md5=97ebe257f1e7dbaa04deaaeb2a2bb619",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85110373400
"He, C., Mu, H., Yang, L., Wang, D.-L., Di, Y.-F., Ye, Z.-X., Yi, J.-H., Ke, B.-Q., Tian, Y., Hong, S.","57210829435; 57221966477; 57219569525; 57211640665; 57226727998; 57226723932; 57226723636; 57221963789; 57209459896; 35310309900","Spatial Variation of Surface Ozone Concentration During the Warm Season and Its Meteorological Driving Factors in China | 中国暖季近地面臭氧浓度空间格局演变及主要气象驱动因素",2021,"Huanjing Kexue/Environmental Science",42,"9",,4168,4179,,,10.13227/j.hjkx.202009228,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112443918&partnerID=40&md5=72fe612885a1883fc4586806c0f921b8",Article,Final,"",Scopus,2-s2.0-85112443918
"Santos, A.M.D., Silva, C.F.A.D., Almeida Junior, P.M.D., Rudke, A.P., Melo, S.N.D.","57215573456; 57199743006; 57223191669; 57200118848; 57191957890","Deforestation drivers in the Brazilian Amazon: assessing new spatial predictors",2021,"Journal of Environmental Management",294,"", 113020,,,,,10.1016/j.jenvman.2021.113020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111012879&partnerID=40&md5=1d2a0ccf0a2356f050068339e81ea24f",Article,Final,"",Scopus,2-s2.0-85111012879
"Qu, M., Guang, X., Zhao, Y., Huang, B.","49362211300; 57223134776; 52164997000; 55081613700","Spatially apportioning the source-oriented ecological risks of soil heavy metals using robust spatial receptor model with land-use data and robust residual kriging",2021,"Environmental Pollution",285,"", 117261,,,,,10.1016/j.envpol.2021.117261,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104947746&partnerID=40&md5=fe3d34c9f39bbc89df68cdc7e46c529e",Article,Final,"",Scopus,2-s2.0-85104947746
"Fang, L., Wang, L., Chen, W., Sun, J., Cao, Q., Wang, S., Wang, L.","57209691070; 55357667300; 57205733960; 56822458600; 57203559713; 57194027248; 23029267900","Identifying the impacts of natural and human factors on ecosystem service in the Yangtze and Yellow River Basins",2021,"Journal of Cleaner Production",314,"", 127995,,,,,10.1016/j.jclepro.2021.127995,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109408163&partnerID=40&md5=0463ae45e0c597071eb0ac6018b2b762",Article,Final,"",Scopus,2-s2.0-85109408163
"Yang, X., Yang, Y., Wan, Y., Wu, R., Feng, D., Li, K.","57201122512; 56599776100; 57223280980; 57212409164; 57223278461; 57212407802","Source identification and comprehensive apportionment of the accumulation of soil heavy metals by integrating pollution landscapes, pathways, and receptors",2021,"Science of the Total Environment",786,"", 147436,,,,,10.1016/j.scitotenv.2021.147436,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105481481&partnerID=40&md5=2d9ad01ea6fdddf59dbafdd5738ce1dd",Article,Final,"",Scopus,2-s2.0-85105481481
"Zhang, D., Geng, X., Chen, W., Fang, L., Yao, R., Wang, X., Zhou, X.","57211948783; 57221286499; 57205733960; 57214417984; 57193086212; 57203579680; 57218554073","Inconsistency of global vegetation dynamics driven by climate change: Evidences from spatial regression",2021,"Remote Sensing",13,"17", 3442,,,,,10.3390/rs13173442,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85114110954&partnerID=40&md5=a7e0105c6dcfb1adeaae73c80132bbfc",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85114110954
"Yin, L., Zhang, H.","7203060740; 57205272758","Building walkable and safe neighborhoods: Assessing the built environment characteristics for pedestrian safety in buffalo, NY",2021,"Journal of Transport and Health",22,"", 101129,,,,,10.1016/j.jth.2021.101129,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113227841&partnerID=40&md5=ea38cae338f7d6d823f3db6be45e18f8",Article,Final,"",Scopus,2-s2.0-85113227841
"Ilesanmi, O.B., Rogers, J.D., Oboh-Ikuenobe, F.E.","57221293202; 56735143700; 6603153217","Evaluation of geohazards in the Cape Girardeau area using LiDAR and GIS, Southeast Missouri, USA",2021,"Environmental Earth Sciences",80,"17", 581,,,,,10.1007/s12665-021-09869-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112787256&partnerID=40&md5=6120b5468529df83bf497b38bde892b0",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85112787256
"Ficetola, G.F., Mazel, F., Falaschi, M., Marta, S., Thuiller, W.","8284288500; 6506833110; 57201688629; 35345398100; 6602123683","Determinants of zoogeographical boundaries differ between vertebrate groups",2021,"Global Ecology and Biogeography",30,"9",,1796,1809,,,10.1111/geb.13345,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112586143&partnerID=40&md5=71a55a9b81e7cca9ef568e49787db0a0",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85112586143
"Guo, W., Zhang, B., Wei, Q., Guo, Y., Yin, X., Li, F., Wang, L., Wang, W.","57226544094; 57226480359; 57216631561; 57212981487; 57226483936; 56867833300; 57226488595; 36994940300","Estimating ground-level PM2.5 concentrations using two-stage model in Beijing-Tianjin-Hebei, China",2021,"Atmospheric Pollution Research",12,"9", 101154,,,,,10.1016/j.apr.2021.101154,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111635873&partnerID=40&md5=b57968a53247592d076f26e7707b2fba",Article,Final,"",Scopus,2-s2.0-85111635873
"Ji, S., Wang, Y., Wang, Y.","57200512819; 56098300200; 56159294200","Geographically weighted poisson regression under linear model of coregionalization assistance: Application to a bicycle crash study",2021,"Accident Analysis and Prevention",159,"", 106230,,,,,10.1016/j.aap.2021.106230,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111001657&partnerID=40&md5=3b1cfd50632dc8c3df8af39e333b2687",Article,Final,"",Scopus,2-s2.0-85111001657
"Tokey, A.I.","57220813789","Spatial association of mobility and COVID-19 infection rate in the USA: A county-level study using mobile phone location data",2021,"Journal of Transport and Health",22,"", 101135,,,,,10.1016/j.jth.2021.101135,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85110263480&partnerID=40&md5=96001c0adb1024809c56b021013c9a52",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85110263480
"Barreto, E., Rangel, T.F., Coelho, M.T.P., Cassemiro, F.A.S., Zimmermann, N.E., Graham, C.H.","57210802701; 9336605900; 57188825332; 36170476400; 7005513010; 7401505218","Spatial variation in direct and indirect effects of climate and productivity on species richness of terrestrial tetrapods",2021,"Global Ecology and Biogeography",30,"9",,1899,1908,,,10.1111/geb.13357,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109833908&partnerID=40&md5=6c5c98610f6568b5b5d47f828213c7dc",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85109833908
"Li, Y., Zhou, T., Jiang, G., Li, G., Zhou, D., Luo, Y.","57200275934; 56655841100; 15060204900; 55760494300; 15761310600; 57225038541","Spatial pattern and mechanisms of farmland abandonment in Agricultural and Pastoral Areas of Qingzang Plateau",2021,"Geography and Sustainability",2,"3",,139,150,,1,10.1016/j.geosus.2021.06.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109018609&partnerID=40&md5=a1a7d670306c0f1c34ba04776d1b3bdb",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85109018609
"Yu, X., Liu, Y., Zhang, Z., Xiao, R.","57211269433; 57195336427; 56068627300; 55948557700","Influences of buildings on urban heat island based on 3D landscape metrics: an investigation of China’s 30 megacities at micro grid-cell scale and macro city scale",2021,"Landscape Ecology",36,"9",,2743,2762,,,10.1007/s10980-021-01275-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107868251&partnerID=40&md5=e939564dde338095fea1b4b6b0b01af9",Article,Final,"",Scopus,2-s2.0-85107868251
"Hernández, J.M., Bulchand-Gidumal, J., Suárez-Vega, R.","7403026151; 26665255800; 56606361200","Using accommodation price determinants to segment tourist areas",2021,"Journal of Destination Marketing and Management",21,"", 100622,,,,,10.1016/j.jdmm.2021.100622,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107348291&partnerID=40&md5=e9d6d2b3ec61f0f2927b8c3a914d5088",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85107348291
"Lak, A., Sharifi, A., Badr, S., Zali, A., Maher, A., Mostafavi, E., Khalili, D.","57194192710; 55203967900; 57223935848; 23011000500; 57204549438; 22135676300; 25922146000","Spatio-temporal patterns of the COVID-19 pandemic, and place-based influential factors at the neighborhood scale in Tehran",2021,"Sustainable Cities and Society",72,"", 103034,,,,2,10.1016/j.scs.2021.103034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106460569&partnerID=40&md5=f10caf3d11ed074460c1537c01f8634a",Article,Final,"",Scopus,2-s2.0-85106460569
"Feng, L., Wang, Y., Zhang, Z., Du, Q.","57196355335; 57194799987; 57001873100; 57194383119","Geographically and temporally weighted neural network for winter wheat yield prediction",2021,"Remote Sensing of Environment",262,"", 112514,,,,,10.1016/j.rse.2021.112514,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106455237&partnerID=40&md5=c2a8a27320bda8d52c872046997975fb",Article,Final,"",Scopus,2-s2.0-85106455237
"Chen, T.-L., Lin, Z.-H.","55571670500; 57214117228","Impact of land use types on the spatial heterogeneity of extreme heat environments in a metropolitan area",2021,"Sustainable Cities and Society",72,"", 103005,,,,,10.1016/j.scs.2021.103005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106378905&partnerID=40&md5=34f709ef7d3fcb4bf32213962af0e903",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85106378905
